# Created by Octave 6.1.0, Thu Feb 18 16:19:30 2021 GMT <unknown@DESKTOP-726K0A7>
# name: X
# type: matrix
# rows: 97
# columns: 2
 1 6.1101000000000001
 1 5.5277000000000003
 1 8.5185999999999993
 1 7.0031999999999996
 1 5.8597999999999999
 1 8.3828999999999994
 1 7.4763999999999999
 1 8.5780999999999992
 1 6.4862000000000002
 1 5.0545999999999998
 1 5.7107000000000001
 1 14.164
 1 5.734
 1 8.4084000000000003
 1 5.6406999999999998
 1 5.3794000000000004
 1 6.3654000000000002
 1 5.1300999999999997
 1 6.4295999999999998
 1 7.0708000000000002
 1 6.1890999999999998
 1 20.27
 1 5.4901
 1 6.3261000000000003
 1 5.5648999999999997
 1 18.945
 1 12.827999999999999
 1 10.957000000000001
 1 13.176
 1 22.202999999999999
 1 5.2523999999999997
 1 6.5894000000000004
 1 9.2482000000000006
 1 5.8917999999999999
 1 8.2111000000000001
 1 7.9333999999999998
 1 8.0959000000000003
 1 5.6063000000000001
 1 12.836
 1 6.3533999999999997
 1 5.4069000000000003
 1 6.8825000000000003
 1 11.708
 1 5.7736999999999998
 1 7.8247
 1 7.0930999999999997
 1 5.0701999999999998
 1 5.8014000000000001
 1 11.699999999999999
 1 5.5415999999999999
 1 7.5401999999999996
 1 5.3076999999999996
 1 7.4238999999999997
 1 7.6031000000000004
 1 6.3327999999999998
 1 6.3589000000000002
 1 6.2742000000000004
 1 5.6397000000000004
 1 9.3102
 1 9.4535999999999998
 1 8.8254000000000001
 1 5.1792999999999996
 1 21.279
 1 14.907999999999999
 1 18.959
 1 7.2182000000000004
 1 8.2950999999999997
 1 10.236000000000001
 1 5.4993999999999996
 1 20.341000000000001
 1 10.135999999999999
 1 7.3345000000000002
 1 6.0061999999999998
 1 7.2259000000000002
 1 5.0269000000000004
 1 6.5479000000000003
 1 7.5385999999999997
 1 5.0365000000000002
 1 10.273999999999999
 1 5.1077000000000004
 1 5.7291999999999996
 1 5.1883999999999997
 1 6.3556999999999997
 1 9.7687000000000008
 1 6.5159000000000002
 1 8.5172000000000008
 1 9.1801999999999992
 1 6.0019999999999998
 1 5.5204000000000004
 1 5.0594000000000001
 1 5.7077
 1 7.6365999999999996
 1 5.8707000000000003
 1 5.3053999999999997
 1 8.2934000000000001
 1 13.394
 1 5.4368999999999996


